#! FIELDS phi psi file.free der_phi der_psi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  57
#! SET periodic_phi true
#! SET min_psi -pi
#! SET max_psi pi
#! SET nbins_psi  31
#! SET periodic_psi true
   -3.141592654   -3.141592654 -108.307151599  -51.848296025   15.515128308
   -3.031361332   -3.141592654 -113.476259529  -41.806259511   16.622791684
   -2.921130011   -3.141592654 -117.460496976  -30.518974697   17.499700743
   -2.810898690   -3.141592654 -120.181333141  -18.980581666   18.159459259
   -2.700667369   -3.141592654 -121.663595590   -8.210458435   18.627429902
   -2.590436048   -3.141592654 -122.043377251    0.913666647   18.953671315
   -2.480204727   -3.141592654 -121.537076564    7.819691327   19.198100522
   -2.369973405   -3.141592654 -120.410341453   12.194388071   19.445059023
   -2.259742084   -3.141592654 -118.940653285   14.085473677   19.791913611
   -2.149510763   -3.141592654 -117.379492792   13.902099789   20.334238691
   -2.039279442   -3.141592654 -115.921152596   12.374039613   21.157184444
   -1.929048121   -3.141592654 -114.666635228   10.361722620   22.314406400
   -1.818816799   -3.141592654 -113.618182798    8.774602082   23.814629771
   -1.708585478   -3.141592654 -112.681544203    8.382471322   25.610394543
   -1.598354157   -3.141592654 -111.694956434    9.733018014   27.600814554
   -1.488122836   -3.141592654 -110.451814535   13.028445360   29.638202542
   -1.377891515   -3.141592654 -108.736662427   18.105819801   31.539231807
   -1.267660194   -3.141592654 -106.385300775   24.579640643   33.121358164
   -1.157428872   -3.141592654 -103.277681879   31.757079515   34.209663529
   -1.047197551   -3.141592654  -99.372582870   38.807522646   34.663873212
   -0.936966230   -3.141592654  -94.739758964   44.962557711   34.394161503
   -0.826734909   -3.141592654  -89.501221638   49.514657793   33.357932390
   -0.716503588   -3.141592654  -83.879915545   51.886533568   31.566630540
   -0.606272266   -3.141592654  -78.134363675   51.648744100   29.064605360
   -0.496040945   -3.141592654  -72.571962322   48.592235679   25.937266346
   -0.385809624   -3.141592654  -67.503701405   42.627344838   22.280544434
   -0.275578303   -3.141592654  -63.244415524   33.965583795   18.214994900
   -0.165346982   -3.141592654  -60.074450810   22.980654167   13.865337857
   -0.055115661   -3.141592654  -58.220906225   10.240657971    9.353033648
    0.055115661   -3.141592654  -57.833092409   -3.466526406    4.803182941
    0.165346982   -3.141592654  -58.963574027  -17.073313036    0.345051450
    0.275578303   -3.141592654  -61.534682372  -29.445921708   -3.893051895
    0.385809624   -3.141592654  -65.338505069  -39.361193787   -7.781989597
    0.496040945   -3.141592654  -70.047124832  -45.644014206  -11.197493727
    0.606272266   -3.141592654  -75.209176123  -47.440269531  -14.023230323
    0.716503588   -3.141592654  -80.302504067  -44.335673503  -16.165521695
    0.826734909   -3.141592654  -84.790273014  -36.506272386  -17.565951697
    0.936966230   -3.141592654  -88.184484974  -24.634605884  -18.208589358
    1.047197551   -3.141592654  -90.102864076  -10.013958476  -18.128271854
    1.157428872   -3.141592654  -90.338219064    5.673501897  -17.407795031
    1.267660194   -3.141592654  -88.869552361   20.647036078  -16.164867163
    1.377891515   -3.141592654  -85.876341462   33.143322195  -14.539067624
    1.488122836   -3.141592654  -81.706341047   41.758810925  -12.674712195
    1.598354157   -3.141592654  -76.846524176   45.580180853  -10.687151022
    1.708585478   -3.141592654  -71.847375436   44.275569478   -8.669930305
    1.818816799   -3.141592654  -67.272108119   38.033599663   -6.670806955
    1.929048121   -3.141592654  -63.625809700   27.572537761   -4.704462120
    2.039279442   -3.141592654  -61.315060938   13.967686819   -2.763662715
    2.149510763   -3.141592654  -60.618261811   -1.509020005   -0.826130020
    2.259742084   -3.141592654  -61.668334695  -17.486542886    1.128382814
    2.369973405   -3.141592654  -64.445106946  -32.631405943    3.110142806
    2.480204727   -3.141592654  -68.791472228  -45.791247294    5.109753566
    2.590436048   -3.141592654  -74.436944127  -56.048978453    7.102457147
    2.700667369   -3.141592654  -81.019628554  -62.727865791    9.052353972
    2.810898690   -3.141592654  -88.119344932  -65.507653883   10.911944784
    2.921130011   -3.141592654  -95.303755280  -64.368431212   12.633386297
    3.031361332   -3.141592654 -102.156343064  -59.617870413   14.179133903

   -3.141592654   -2.938909257 -104.663330741  -50.010684259   22.019415504
   -3.031361332   -2.938909257 -109.656881523  -40.477733747   23.215699656
   -2.921130011   -2.938909257 -113.520518813  -29.661421112   24.087565806
   -2.810898690   -2.938909257 -116.169536900  -18.530729049   24.657353185
   -2.700667369   -2.938909257 -117.620284126   -8.072508121   24.959257743
   -2.590436048   -2.938909257 -117.995258934    0.871576268   25.058290453
   -2.480204727   -2.938909257 -117.495733333    7.758228551   25.030947706
   -2.369973405   -2.938909257 -116.367843148   12.302807880   24.977575227
   -2.259742084   -2.938909257 -114.867424435   14.559458504   25.010393605
   -2.149510763   -2.938909257 -113.225160814   14.925428433   25.237000808
   -2.039279442   -2.938909257 -111.617190950   14.082751488   25.750363061
   -1.929048121   -2.938909257 -110.133363333   12.816453942   26.604602222
   -1.818816799   -2.938909257 -108.774454059   11.938479355   27.803134831
   -1.708585478   -2.938909257 -107.456930300   12.103930395   29.287109256
   -1.598354157   -2.938909257 -106.041623171   13.752647140   30.938777180
   -1.488122836   -2.938909257 -104.355040575   17.002120724   32.592308459
   -1.377891515   -2.938909257 -102.223192760   21.648725861   34.044679000
   -1.267660194   -2.938909257  -99.524084015   27.299934539   35.099439940
   -1.157428872   -2.938909257  -96.178860705   33.313642537   35.572527784
   -1.047197551   -2.938909257  -92.180287435   38.939033751   35.323110367
   -0.936966230   -2.938909257  -87.620400553   43.508166958   34.273884098
