#! FIELDS phi file.free der_phi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  57
#! SET periodic_phi true
   -3.141592654 -120.282185968  -53.769899722
   -3.031361332 -125.591399417  -42.601530636
   -2.921130011 -129.607599558  -30.427626520
   -2.810898690 -132.286075021  -18.526731385
   -2.700667369 -133.719159980   -7.948515844
   -2.590436048 -134.105759673    0.396632516
   -2.480204727 -133.724198631    5.919276366
   -2.369973405 -132.909377343    8.364670284
   -2.259742084 -131.991667621    7.915124427
   -2.149510763 -131.257329487    5.103158796
   -2.039279442 -130.926851995    0.840243884
   -1.929048121 -131.090634052   -3.732031441
   -1.818816799 -131.719005997   -7.407807954
   -1.708585478 -132.651002481   -9.155632804
   -1.598354157 -133.629612607   -8.184284957
   -1.488122836 -134.331419278   -4.278044332
   -1.377891515 -134.450043655    2.319127323
   -1.267660194 -133.727511762   10.816812784
   -1.157428872 -132.016011929   20.131651804
   -1.047197551 -129.297350819   28.990741696
   -0.936966230 -125.675775965   36.231356413
   -0.826734909 -121.378640684   41.130034817
   -0.716503588 -116.694686648   43.190569303
   -0.606272266 -111.949201751   42.217704131
   -0.496040945 -107.468540719   38.438378494
   -0.385809624 -103.547460867   32.171063315
   -0.275578303 -100.433366894   23.796228819
   -0.165346982  -98.332641894   13.798183847
   -0.055115661  -97.403568274    2.703365465
    0.055115661  -97.735439238   -9.011811744
    0.165346982  -99.357856577  -20.598428759
    0.275578303 -102.216605774  -31.138063392
    0.385809624 -106.132996339  -39.607169019
    0.496040945 -110.807569096  -44.934219413
    0.606272266 -115.844088595  -45.925228787
    0.716503588 -120.714210601  -41.950451497
    0.826734909 -124.859420852  -32.666175162
    0.936966230 -127.709223518  -18.607601013
    1.047197551 -128.798380361   -0.838895907
    1.157428872 -127.808253370   18.848309550
    1.267660194 -124.645517982   38.266334361
    1.377891515 -119.457383165   55.240877659
    1.488122836 -112.624887426   67.751547408
    1.598354157 -104.737207245   74.312219157
    1.708585478  -96.489075369   74.082211887
    1.818816799  -88.642891943   67.097366678
    1.929048121  -81.913563782   54.092752656
    2.039279442  -76.889190732   36.377509756
    2.149510763  -73.991762686   15.825163791
    2.259742084  -73.428626137   -5.635843815
    2.369973405  -75.188078404  -26.052658126
    2.480204727  -79.056116135  -43.666923515
    2.590436048  -84.653274535  -57.199262412
    2.700667369  -91.486692801  -65.918135384
    2.810898690  -98.994252395  -69.512071566
    2.921130011 -106.624949669  -68.216185556
    3.031361332 -113.858021331  -62.672677519
